觀測月份,觀測站,當月資料缺漏超過1日,降雨量
"2023-03","麥寮合作社","","9.5"
"2023-02","麥寮合作社","","7.5"
"2023-01","麥寮合作社","","4.5"
"2022-12","麥寮合作社","","12"
"2022-11","麥寮合作社","","3.5"
"2022-10","麥寮合作社","","5"
"2022-09","麥寮合作社","","13"
"2022-08","麥寮合作社","","151"
"2022-07","麥寮合作社","","31.5"
"2022-06","麥寮合作社","","207"
"2022-05","麥寮合作社","","263.5"
"2022-04","麥寮合作社","","17.5"
"2022-03","麥寮合作社","","94"
"2022-02","麥寮合作社","","76.5"
"2022-01","麥寮合作社","","23.5"
"2021-12","麥寮合作社","","16"
"2021-11","麥寮合作社","","5.5"
"2021-10","麥寮合作社","","6"
"2021-09","麥寮合作社","","10"
"2021-08","麥寮合作社","","528.5"
"2021-07","麥寮合作社","","71.5"
"2021-06","麥寮合作社","","412"
"2021-05","麥寮合作社","","68.9"
"2021-04","麥寮合作社","","39"
"2021-03","麥寮合作社","","8.5"
"2021-02","麥寮合作社","","28"
"2021-01","麥寮合作社","","0.5"
"2020-12","麥寮合作社","","無資料"
"2020-11","麥寮合作社","","無資料"
"2023-03","鳳山農試所","","0"
"2023-02","鳳山農試所","","0"
"2023-01","鳳山農試所","","0"
"2022-12","鳳山農試所","","16"
"2022-11","鳳山農試所","","0"
"2022-10","鳳山農試所","","28"
"2022-09","鳳山農試所","","65"
"2022-08","鳳山農試所","","168"
"2022-07","鳳山農試所","","136.5"
"2022-06","鳳山農試所","","151"
"2022-05","鳳山農試所","","343"
"2022-04","鳳山農試所","","1"
"2022-03","鳳山農試所","","26"
"2022-02","鳳山農試所","","20.5"
"2022-01","鳳山農試所","","47.5"
"2021-12","鳳山農試所","","1.5"
"2021-11","鳳山農試所","","2"
"2021-10","鳳山農試所","","45.5"
"2021-09","鳳山農試所","","150.5"
"2021-08","鳳山農試所","","1057.5"
"2021-07","鳳山農試所","","697"
"2021-06","鳳山農試所","","1072.5"
"2021-05","鳳山農試所","","47.5"
"2021-04","鳳山農試所","","12"
"2023-03","魚池茶改場","","22"
"2023-02","魚池茶改場","","11"
"2023-01","魚池茶改場","","15.5"
"2022-12","魚池茶改場","","16"
"2022-11","魚池茶改場","","13"
"2022-10","魚池茶改場","","28.5"
"2022-09","魚池茶改場","","158"
"2022-08","魚池茶改場","","222.5"
"2022-07","魚池茶改場","","144"
"2022-06","魚池茶改場","","481.5"
"2022-05","魚池茶改場","","509.5"
"2022-04","魚池茶改場","","104"
"2022-03","魚池茶改場","","125.5"
"2022-02","魚池茶改場","","133.5"
"2022-01","魚池茶改場","","48.5"
"2021-12","魚池茶改場","","26"
"2021-11","魚池茶改場","","38"
"2021-10","魚池茶改場","","41"
"2021-09","魚池茶改場","","236.5"
"2021-08","魚池茶改場","","605"
"2021-07","魚池茶改場","","324"
"2021-06","魚池茶改場","","495"
"2021-05","魚池茶改場","","232.5"
"2021-04","魚池茶改場","","65.5"
"2021-03","魚池茶改場","","19"
"2021-02","魚池茶改場","","25.5"
"2021-01","魚池茶改場","","12"
"2020-12","魚池茶改場","","52.5"
"2020-11","魚池茶改場","","4.5"
"2020-10","魚池茶改場","","18.5"
"2020-09","魚池茶改場","","112.5"
"2020-08","魚池茶改場","","134"
"2020-07","魚池茶改場","","13"
"2020-06","魚池茶改場","","13"
"2019-12","魚池茶改場","*","147.5"
"2019-11","魚池茶改場","*","0"
"2019-10","魚池茶改場","*","11"
"2019-09","魚池茶改場","","90.5"
"2019-08","魚池茶改場","*","623.5"
"2019-07","魚池茶改場","","207.5"
"2019-06","魚池茶改場","","797.5"
"2019-05","魚池茶改場","*","753.5"
"2019-04","魚池茶改場","","XXX"
"2019-03","魚池茶改場","*","157"
"2019-02","魚池茶改場","*","8.5"
"2019-01","魚池茶改場","","8.5"
"2018-12","魚池茶改場","*","1"
"2018-11","魚池茶改場","*","29.5"
"2018-10","魚池茶改場","","XXX"
"2018-09","魚池茶改場","","XXX"
"2018-08","魚池茶改場","","XXX"
"2018-07","魚池茶改場","","XXX"
"2018-06","魚池茶改場","","XXX"
"2018-05","魚池茶改場","","XXX"
"2018-04","魚池茶改場","","XXX"
"2018-03","魚池茶改場","","XXX"
"2018-02","魚池茶改場","","XXX"
"2018-01","魚池茶改場","","XXX"
"2023-03","高雄農改場","","0.5"
"2023-02","高雄農改場","","0"
"2023-01","高雄農改場","","0"
"2022-12","高雄農改場","","18"
"2022-11","高雄農改場","","10"
"2022-10","高雄農改場","","17.5"
"2022-09","高雄農改場","","70"
"2022-08","高雄農改場","","383.5"
"2022-07","高雄農改場","","144.5"
"2022-06","高雄農改場","","162.5"
"2022-05","高雄農改場","","341.5"
"2022-04","高雄農改場","","3"
"2022-03","高雄農改場","","21"
"2022-02","高雄農改場","*","23.5"
"2022-01","高雄農改場","*","0"
"2021-12","高雄農改場","","3.5"
"2021-11","高雄農改場","","4.5"
"2021-10","高雄農改場","","104"
"2021-09","高雄農改場","","150.5"
"2021-08","高雄農改場","","1310.5"
"2021-07","高雄農改場","","610.5"
"2021-06","高雄農改場","","1218"
"2021-05","高雄農改場","","121.5"
"2021-04","高雄農改場","","14"
"2019-12","高雄農改場","*","25.5"
"2019-11","高雄農改場","","3"
"2019-10","高雄農改場","*","53"
"2019-09","高雄農改場","*","185"
"2019-08","高雄農改場","","953"
"2019-07","高雄農改場","*","628"
"2019-06","高雄農改場","","372.5"
"2019-05","高雄農改場","*","271"
"2019-04","高雄農改場","*","0"
"2019-03","高雄農改場","*","0"
"2019-02","高雄農改場","","17"
"2019-01","高雄農改場","*","1.5"
"2018-12","高雄農改場","*","1.5"
"2018-11","高雄農改場","","0"
"2018-10","高雄農改場","*","50.5"
"2018-09","高雄農改場","","288.5"
"2018-08","高雄農改場","","977"
"2018-07","高雄農改場","","574"
"2018-06","高雄農改場","","601"
"2018-05","高雄農改場","","XXX"
"2018-04","高雄農改場","","17"
"2018-03","高雄農改場","","26"
"2018-02","高雄農改場","","6.5"
"2018-01","高雄農改場","","36.5"
"2017-12","高雄農改場","*","0.5"
"2017-11","高雄農改場","","20.5"
"2017-10","高雄農改場","","112.5"
"2017-09","高雄農改場","","115"
"2017-08","高雄農改場","","215"
"2017-07","高雄農改場","","705"
"2017-06","高雄農改場","","423.5"
"2017-05","高雄農改場","","65.5"
"2017-04","高雄農改場","","49"
"2017-03","高雄農改場","*","3"
"2017-02","高雄農改場","*","0"
"2017-01","高雄農改場","","XXX"
"2016-12","高雄農改場","","XXX"
"2016-11","高雄農改場","","31.5"
"2016-10","高雄農改場","","120.5"
"2016-09","高雄農改場","","1309.5"
"2016-08","高雄農改場","*","467"
"2016-07","高雄農改場","*","640"
"2016-06","高雄農改場","","XXX"
"2016-05","高雄農改場","","158.5"
"2016-04","高雄農改場","","236.5"
"2016-03","高雄農改場","","97"
"2016-02","高雄農改場","","3.5"
"2016-01","高雄農改場","","74.5"
"2015-12","高雄農改場","","40.5"
"2015-11","高雄農改場","*","1"
"2015-10","高雄農改場","","XXX"
"2015-09","高雄農改場","","111.5"
"2015-08","高雄農改場","","538"
"2015-07","高雄農改場","","319.5"
"2015-06","高雄農改場","","19.5"
"2015-05","高雄農改場","*","52.5"
"2015-04","高雄農改場","*","6"
"2015-03","高雄農改場","","0"
"2015-02","高雄農改場","*","8"
"2015-01","高雄農改場","","4"
"2014-12","高雄農改場","*","9.5"
"2014-11","高雄農改場","*","18.5"
"2014-10","高雄農改場","","2"
"2014-09","高雄農改場","","247"
"2014-08","高雄農改場","","529.5"
"2014-07","高雄農改場","","376.5"
"2014-06","高雄農改場","*","158"
"2014-05","高雄農改場","*","163.5"
"2014-04","高雄農改場","","10.5"
"2014-03","高雄農改場","","32.5"
"2014-02","高雄農改場","*","16.5"
"2014-01","高雄農改場","*","0"
"2013-12","高雄農改場","*","37.5"
"2013-11","高雄農改場","","22"
"2013-10","高雄農改場","","15"
"2013-09","高雄農改場","","200"
"2013-08","高雄農改場","","819"
"2013-07","高雄農改場","*","109.5"
"2013-06","高雄農改場","","155.5"
"2013-05","高雄農改場","*","166"
"2013-04","高雄農改場","","133.5"
"2013-03","高雄農改場","","2.5"
"2013-02","高雄農改場","","0"
"2013-01","高雄農改場","","1.5"
"2012-12","高雄農改場","","25"
"2012-11","高雄農改場","","78.8"
"2012-10","高雄農改場","","5.5"
"2012-09","高雄農改場","","167"
"2012-08","高雄農改場","","525.5"
"2012-07","高雄農改場","","126"
"2012-06","高雄農改場","","1468"
"2012-05","高雄農改場","","307"
"2012-04","高雄農改場","","95.5"
"2012-03","高雄農改場","","7"
"2012-02","高雄農改場","","14.5"
"2012-01","高雄農改場","","1"
"2011-12","高雄農改場","","31.5"
"2011-11","高雄農改場","","158"
"2011-10","高雄農改場","","92"
"2011-09","高雄農改場","","227"
"2011-08","高雄農改場","","438.5"
"2011-07","高雄農改場","","453.5"
"2011-06","高雄農改場","","163.5"
"2011-05","高雄農改場","","218"
"2011-04","高雄農改場","","56"
"2011-03","高雄農改場","","6.5"
"2011-02","高雄農改場","","3"
"2011-01","高雄農改場","","13.5"
"2010-12","高雄農改場","","20"
"2010-11","高雄農改場","","11"
"2010-10","高雄農改場","","155.5"
"2010-09","高雄農改場","","1074.4"
"2010-08","高雄農改場","","343"
"2010-07","高雄農改場","","468.6"
"2010-06","高雄農改場","","364.1"
"2010-05","高雄農改場","","244"
"2010-04","高雄農改場","","45.3"
"2010-03","高雄農改場","","1.1"
"2010-02","高雄農改場","","12"
"2010-01","高雄農改場","","5.6"
"2023-03","雲林分場","","12"
"2023-02","雲林分場","","0"
"2023-01","雲林分場","","7.5"
"2022-12","雲林分場","","18.5"
"2022-11","雲林分場","","1.5"
"2022-10","雲林分場","","5"
"2022-09","雲林分場","","36"
"2022-08","雲林分場","","481"
"2022-07","雲林分場","","64.5"
"2022-06","雲林分場","*","186.5"
"2022-05","雲林分場","*","220"
"2022-04","雲林分場","","46"
"2022-03","雲林分場","","97.5"
"2022-02","雲林分場","","95.5"
"2022-01","雲林分場","","29"
"2021-12","雲林分場","","28.5"
"2021-11","雲林分場","","6.5"
"2021-10","雲林分場","","12.5"
"2021-09","雲林分場","","76.5"
"2021-08","雲林分場","","647"
"2021-07","雲林分場","","300.5"
"2021-06","雲林分場","","617"
"2021-05","雲林分場","","101.5"
"2021-04","雲林分場","","27.5"
"2021-03","雲林分場","","11.5"
"2021-02","雲林分場","","27"
"2021-01","雲林分場","","36"
"2020-12","雲林分場","","40.5"
